Accession,Length,Family,Subfamily,Domains,Seperators
NLT21186,208,2.A.96,2.A.96.1,"[('CDD:224500', 11, 193, 47.0), ('CDD:182625', 36, 193, 52.8), ('CDD:411606', 36, 189, 40.6)]",[]
P41943,270,2.A.96,2.A.96.1,"[('CDD:224500', 50, 264, 195.0), ('CDD:426106', 61, 265, 315.0), ('CDD:182625', 74, 251, 104.0), ('CDD:411606', 79, 251, 108.0)]",[]
Q5B2K4,298,2.A.96,2.A.96.1,"[('CDD:426106', 65, 282, 282.0), ('CDD:182625', 79, 277, 86.3), ('CDD:224500', 81, 278, 177.0), ('CDD:411606', 84, 206, 84.5)]","[('BEGIN to CDD:426106', 1, 64)]"
P25613,283,2.A.96,2.A.96.1,"[('CDD:224500', 60, 277, 234.0), ('CDD:426106', 71, 276, 331.0), ('CDD:182625', 86, 264, 91.3), ('CDD:411606', 89, 260, 109.0)]","[('BEGIN to CDD:224500', 1, 59)]"
Q12359,275,2.A.96,2.A.96.1,"[('CDD:224500', 55, 266, 222.0), ('CDD:426106', 77, 273, 217.0), ('CDD:182625', 83, 253, 75.9), ('CDD:411606', 86, 253, 63.0)]","[('BEGIN to CDD:224500', 1, 54)]"
O14201,304,2.A.96,2.A.96.1,"[('CDD:224500', 64, 278, 248.0), ('CDD:426106', 75, 284, 285.0), ('CDD:182625', 92, 265, 99.8), ('CDD:411606', 92, 265, 118.0)]","[('BEGIN to CDD:224500', 1, 63)]"
P32907,282,2.A.96,2.A.96.1,"[('CDD:224500', 59, 276, 255.0), ('CDD:426106', 70, 275, 343.0), ('CDD:182625', 85, 263, 100.0), ('CDD:411606', 88, 259, 125.0)]","[('BEGIN to CDD:224500', 1, 58)]"
WP_026391967,182,2.A.96,2.A.96.1,"[('CDD:182625', 1, 182, 193.0), ('CDD:426106', 3, 167, 137.0), ('CDD:224500', 5, 182, 182.0), ('CDD:411606', 8, 181, 263.0)]",[]
WP_048050534,200,2.A.96,2.A.96.1,"[('CDD:224500', 5, 200, 227.0), ('CDD:182625', 21, 200, 226.0), ('CDD:426106', 21, 191, 143.0), ('CDD:411606', 22, 199, 288.0)]",[]
Q460G9,262,2.A.96,2.A.96.2,"[('CDD:426106', 41, 253, 81.8), ('CDD:224500', 47, 179, 54.3)]",[]
GAW00410,259,2.A.96,2.A.96.2,"[('CDD:224500', 41, 236, 64.3), ('CDD:182625', 46, 197, 40.1), ('CDD:426106', 50, 233, 91.8), ('CDD:411606', 94, 197, 53.7)]",[]
KXS96282,309,2.A.96,2.A.96.2,"[('CDD:426106', 89, 248, 123.0), ('CDD:224500', 100, 248, 73.1), ('CDD:182625', 102, 248, 47.8), ('CDD:411606', 160, 249, 44.5)]","[('BEGIN to CDD:426106', 1, 88), ('CDD:426106 to END', 250, 309)]"
O95202,739,2.A.97,2.A.97.1,"[('CDD:429648', 153, 417, 375.0)]","[('BEGIN to CDD:429648', 1, 152), ('CDD:429648 to END', 418, 739)]"
Q08179,573,2.A.97,2.A.97.1,"[('CDD:429648', 83, 353, 400.0)]","[('BEGIN to CDD:429648', 1, 82), ('CDD:429648 to END', 354, 573)]"
P91927,1013,2.A.97,2.A.97.1,"[('CDD:429648', 181, 445, 393.0), ('CDD:224188', 531, 802, 43.9), ('CDD:235175', 543, 916, 52.8), ('CDD:224117', 545, 861, 47.0), ('CDD:236892', 545, 882, 44.9), ('CDD:173412', 566, 912, 44.7), ('CDD:274009', 625, 924, 47.0), ('CDD:235600', 666, 892, 49.2), ('CDD:227455', 677, 825, 43.8), ('CDD:433258', 773, 823, 39.5), ('CDD:238008', 774, 823, 39.5)]","[('BEGIN to CDD:429648', 1, 180), ('CDD:429648 to CDD:224188', 446, 530), ('CDD:235175 to END', 925, 1013)]"
Q06493,454,2.A.97,2.A.97.1,"[('CDD:429648', 82, 343, 357.0)]","[('BEGIN to CDD:429648', 1, 81), ('CDD:429648 to END', 344, 454)]"
Q4DUR6,479,2.A.97,2.A.97.1,"[('CDD:429648', 30, 292, 190.0)]","[('CDD:429648 to END', 293, 479)]"
Q2VYF4,491,2.A.97,2.A.97.1,"[('CDD:437156', 1, 111, 242.0), ('CDD:429648', 124, 385, 304.0)]","[('CDD:429648 to END', 386, 491)]"
Q6P1Q0,360,2.A.97,2.A.97.1,"[('CDD:429648', 79, 345, 283.0)]","[('BEGIN to CDD:429648', 1, 78)]"
Q8I1R5,802,2.A.97,2.A.97.1,"[('CDD:429648', 320, 590, 268.0)]","[('BEGIN to CDD:429648', 1, 319), ('CDD:429648 to END', 591, 802)]"
Q6RH51,338,2.A.98,2.A.98.1,"[('CDD:225411', 15, 338, 209.0), ('CDD:427390', 61, 312, 143.0)]",[]
Q6RH59,338,2.A.98,2.A.98.1,"[('CDD:225411', 15, 338, 206.0), ('CDD:427390', 61, 312, 146.0)]",[]
P62723,349,2.A.98,2.A.98.1,"[('CDD:225411', 11, 345, 353.0), ('CDD:129781', 14, 348, 440.0), ('CDD:427390', 18, 326, 333.0)]",[]
F3LB58,339,2.A.98,2.A.98.1,"[('CDD:225411', 1, 337, 266.0), ('CDD:427390', 9, 318, 216.0)]",[]
D3B7R7,355,2.A.98,2.A.98.1,"[('CDD:225411', 119, 349, 96.5), ('CDD:427390', 119, 322, 95.1)]","[('BEGIN to CDD:225411', 1, 118)]"
S2JQB2,538,2.A.98,2.A.98.1,"[('CDD:225411', 144, 375, 91.1), ('CDD:427390', 149, 504, 112.0)]","[('BEGIN to CDD:427390', 1, 143)]"
F0JDW0,480,2.A.98,2.A.98.1,"[('CDD:225411', 140, 310, 52.6), ('CDD:427390', 140, 310, 68.5)]","[('BEGIN to CDD:427390', 1, 139), ('CDD:427390 to END', 311, 480)]"
O28652,328,2.A.98,2.A.98.2,"[('CDD:225411', 6, 325, 252.0), ('CDD:129781', 14, 328, 374.0), ('CDD:427390', 22, 308, 263.0)]",[]
WP_091089264,419,2.A.98,2.A.98.3,"[('CDD:227792', 8, 402, 137.0), ('CDD:114410', 17, 411, 216.0), ('CDD:225411', 22, 125, 44.1)]",[]
WP_090288866,387,2.A.98,2.A.98.3,"[('CDD:227792', 4, 378, 123.0), ('CDD:114410', 14, 378, 98.6)]",[]
WP_205003003,407,2.A.98,2.A.98.3,"[('CDD:227792', 12, 406, 308.0), ('CDD:114410', 16, 406, 298.0)]",[]
KFG45662,602,2.A.98,2.A.98.3,"[('CDD:114410', 238, 593, 73.6), ('CDD:227792', 288, 593, 64.4)]","[('BEGIN to CDD:114410', 1, 237)]"
XP_029219330,605,2.A.98,2.A.98.3,"[('CDD:114410', 236, 596, 72.4), ('CDD:227792', 287, 596, 57.1)]","[('BEGIN to CDD:114410', 1, 235)]"
XP_001350052,522,2.A.98,2.A.98.3,"[('CDD:114410', 406, 522, 54.7), ('CDD:227792', 408, 522, 47.5)]","[('BEGIN to CDD:114410', 1, 405)]"
P27650,191,2.A.99,2.A.99.1,"[('CDD:225245', 10, 163, 117.0), ('CDD:428218', 10, 164, 133.0)]",[]
Q1M8G8,201,2.A.99,2.A.99.1,"[('CDD:225245', 24, 201, 103.0), ('CDD:428218', 24, 196, 124.0)]",[]
Q98CY5,195,2.A.99,2.A.99.1,"[('CDD:225245', 1, 195, 152.0), ('CDD:428218', 20, 190, 134.0)]",[]
WP_002792498,217,2.A.99,2.A.99.1,"[('CDD:225245', 13, 215, 96.7), ('CDD:428218', 18, 212, 102.0)]",[]
WP_044217189,223,2.A.99,2.A.99.1,"[('CDD:433484', 41, 192, 164.0)]",[]
WP_153204897,252,2.A.99,2.A.99.1,"[('CDD:225245', 136, 252, 50.1), ('CDD:428218', 136, 247, 50.7)]","[('BEGIN to CDD:428218', 1, 135)]"
WP_162301253,185,2.A.99,2.A.99.1,"[('CDD:225245', 9, 163, 65.1), ('CDD:428218', 11, 169, 79.2)]",[]
WP_149777770,214,2.A.99,2.A.99.1,"[('CDD:225245', 34, 201, 65.9), ('CDD:428218', 34, 199, 66.9)]",[]
P02786,760,2.B.93,2.B.93.1,"[('CDD:225143', 153, 576, 59.9), ('CDD:349879', 154, 463, 60.8), ('CDD:239036', 197, 358, 107.0), ('CDD:239043', 201, 377, 315.0), ('CDD:238300', 207, 352, 64.5), ('CDD:239045', 216, 352, 54.6), ('CDD:239046', 219, 353, 55.7), ('CDD:426668', 229, 345, 55.2), ('CDD:239048', 232, 282, 61.1), ('CDD:240122', 250, 282, 40.4), ('CDD:239037', 254, 307, 40.4), ('CDD:349894', 360, 492, 44.0), ('CDD:349946', 364, 610, 414.0), ('CDD:349942', 383, 609, 170.0), ('CDD:349871', 385, 608, 283.0), ('CDD:349868', 386, 601, 176.0), ('CDD:349874', 388, 563, 56.5), ('CDD:349910', 388, 463, 54.3), ('CDD:349937', 388, 594, 58.8), ('CDD:398200', 388, 565, 70.4), ('CDD:427820', 637, 750, 70.7)]","[('BEGIN to CDD:349879', 1, 152)]"
Q9UP52,801,2.B.93,2.B.93.1,"[('CDD:239036', 203, 394, 149.0), ('CDD:239043', 211, 401, 308.0), ('CDD:239046', 232, 368, 69.2), ('CDD:238300', 234, 373, 56.8), ('CDD:239045', 234, 298, 43.0), ('CDD:240123', 234, 298, 43.2), ('CDD:240122', 237, 318, 45.4), ('CDD:239048', 240, 298, 55.0), ('CDD:426668', 242, 320, 52.5), ('CDD:239039', 253, 319, 43.1), ('CDD:349879', 348, 486, 57.7), ('CDD:225143', 382, 603, 60.3), ('CDD:349870', 392, 545, 48.6), ('CDD:349878', 396, 538, 51.2), ('CDD:349913', 406, 543, 47.8), ('CDD:349871', 409, 640, 219.0), ('CDD:349942', 409, 641, 183.0), ('CDD:349946', 409, 642, 399.0), ('CDD:349868', 410, 607, 131.0), ('CDD:349872', 410, 609, 45.7), ('CDD:349874', 412, 608, 60.7), ('CDD:349910', 412, 486, 57.4), ('CDD:349937', 412, 607, 65.7), ('CDD:398200', 412, 609, 83.5), ('CDD:427820', 669, 791, 49.1)]","[('BEGIN to CDD:239043', 1, 202)]"
Q9H0X9,879,2.D.1,2.D.1.1,"[('CDD:270103', 120, 248, 269.0), ('CDD:214574', 127, 243, 59.9), ('CDD:275402', 127, 191, 42.2), ('CDD:395117', 127, 243, 54.5), ('CDD:275388', 132, 238, 54.9), ('CDD:269954', 133, 242, 46.2), ('CDD:270068', 138, 241, 48.4), ('CDD:270086', 142, 246, 40.6), ('CDD:426145', 374, 717, 346.0)]","[('BEGIN to CDD:270103', 1, 119), ('CDD:270103 to CDD:426145', 249, 373), ('CDD:426145 to END', 718, 879)]"
Q9Y5P4,624,2.D.1,2.D.1.1,"[('CDD:270090', 20, 112, 45.4), ('CDD:270105', 20, 112, 41.8), ('CDD:270113', 22, 112, 42.7), ('CDD:241446', 23, 115, 93.9), ('CDD:241529', 23, 114, 49.9), ('CDD:214574', 24, 115, 73.7), ('CDD:275402', 24, 115, 44.5), ('CDD:395117', 24, 114, 64.9), ('CDD:241530', 26, 114, 49.2), ('CDD:270083', 26, 112, 53.5), ('CDD:270095', 26, 113, 49.2), ('CDD:270100', 26, 125, 220.0), ('CDD:275388', 26, 112, 79.1), ('CDD:269966', 27, 118, 53.5), ('CDD:270106', 27, 126, 82.7), ('CDD:405988', 27, 115, 44.1), ('CDD:241436', 28, 114, 49.6), ('CDD:241444', 28, 121, 96.4), ('CDD:241447', 28, 114, 58.1), ('CDD:241448', 28, 116, 62.9), ('CDD:269941', 28, 112, 53.9), ('CDD:269951', 28, 112, 108.0), ('CDD:270101', 28, 125, 94.8), ('CDD:270110', 28, 114, 63.0), ('CDD:270073', 39, 114, 47.4), ('CDD:270102', 39, 115, 53.2), ('CDD:270104', 39, 116, 44.2), ('CDD:269944', 40, 114, 50.3), ('CDD:269964', 40, 115, 39.6), ('CDD:270068', 40, 114, 41.5), ('CDD:270070', 40, 113, 44.5), ('CDD:270075', 40, 118, 40.1), ('CDD:270092', 40, 114, 63.5), ('CDD:270108', 40, 114, 49.0), ('CDD:176881', 391, 624, 449.0), ('CDD:176877', 393, 594, 45.4), ('CDD:176851', 407, 614, 149.0), ('CDD:176885', 413, 600, 60.4), ('CDD:426476', 413, 619, 95.5), ('CDD:176919', 414, 607, 46.3), ('CDD:214575', 414, 615, 94.8), ('CDD:176880', 415, 608, 73.8)]","[('CDD:270100 to CDD:176881', 127, 390)]"
Q9BZF1,889,2.D.1,2.D.1.1,"[('CDD:270103', 142, 271, 286.0), ('CDD:214574', 149, 265, 60.3), ('CDD:270068', 149, 263, 48.4), ('CDD:395117', 149, 265, 52.9), ('CDD:269943', 151, 269, 41.2), ('CDD:275388', 151, 260, 54.1), ('CDD:269954', 154, 264, 46.9), ('CDD:270086', 164, 268, 43.3), ('CDD:426145', 407, 753, 341.0)]","[('BEGIN to CDD:270103', 1, 141), ('CDD:270103 to CDD:426145', 272, 406), ('CDD:426145 to END', 754, 889)]"
Q02201,448,2.D.1,2.D.1.1,"[('CDD:426145', 53, 393, 315.0)]","[('BEGIN to CDD:426145', 1, 52), ('CDD:426145 to END', 394, 448)]"
P38755,437,2.D.1,2.D.1.1,"[('CDD:426145', 53, 393, 328.0)]","[('BEGIN to CDD:426145', 1, 52)]"
Q9SVZ9,386,2.D.1,2.D.1.1,"[('CDD:426145', 38, 364, 160.0)]",[]
N4TIW3,983,2.D.1,2.D.1.1,"[('CDD:241443', 212, 302, 142.0), ('CDD:270104', 213, 310, 55.4), ('CDD:270110', 213, 304, 59.6), ('CDD:214574', 215, 304, 51.8), ('CDD:269966', 215, 308, 51.9), ('CDD:275388', 215, 299, 44.5), ('CDD:395117', 215, 304, 51.8), ('CDD:405984', 215, 303, 157.0), ('CDD:241444', 226, 302, 40.5), ('CDD:270101', 226, 302, 55.1), ('CDD:270106', 226, 302, 48.4), ('CDD:270100', 227, 308, 46.5), ('CDD:426145', 603, 967, 465.0)]","[('BEGIN to CDD:405984', 1, 211), ('CDD:405984 to CDD:426145', 311, 602)]"
L8HG03,432,2.D.1,2.D.1.1,"[('CDD:426145', 19, 289, 113.0)]","[('CDD:426145 to END', 290, 432)]"
A0BM91,881,2.D.1,2.D.1.1,"[('CDD:426145', 560, 881, 116.0)]","[('BEGIN to CDD:426145', 1, 559)]"
Q9VC05,784,2.D.1,2.D.1.1,"[('CDD:270102', 12, 103, 47.8), ('CDD:270090', 13, 101, 40.4), ('CDD:214574', 15, 107, 79.9), ('CDD:241446', 15, 109, 103.0), ('CDD:269943', 15, 105, 41.2), ('CDD:269954', 15, 103, 57.3), ('CDD:270068', 15, 105, 60.7), ('CDD:270104', 15, 102, 45.4), ('CDD:270105', 15, 102, 54.2), ('CDD:395117', 15, 107, 71.4), ('CDD:269941', 16, 78, 42.7), ('CDD:241444', 17, 105, 82.9), ('CDD:241447', 17, 105, 63.1), ('CDD:269951', 17, 108, 106.0), ('CDD:270070', 17, 111, 53.4), ('CDD:270100', 17, 107, 114.0), ('CDD:270101', 17, 113, 211.0), ('CDD:270106', 17, 102, 81.2), ('CDD:270110', 17, 103, 49.9), ('CDD:275388', 17, 102, 79.5), ('CDD:275402', 17, 103, 54.9), ('CDD:270092', 18, 105, 42.3), ('CDD:270094', 18, 102, 45.0), ('CDD:405988', 18, 102, 48.0), ('CDD:241436', 19, 103, 59.6), ('CDD:241443', 19, 103, 62.3), ('CDD:241448', 19, 106, 65.2), ('CDD:241529', 19, 102, 48.0), ('CDD:241530', 19, 97, 41.1), ('CDD:269928', 19, 109, 45.4), ('CDD:270075', 19, 113, 55.1), ('CDD:270083', 19, 111, 57.4), ('CDD:270095', 19, 111, 55.4), ('CDD:270108', 19, 102, 41.7), ('CDD:270113', 19, 113, 42.0), ('CDD:405984', 19, 106, 51.6), ('CDD:269966', 28, 102, 55.0), ('CDD:270073', 29, 108, 40.1), ('CDD:269944', 31, 102, 43.0), ('CDD:426145', 399, 773, 505.0)]","[('CDD:270101 to CDD:426145', 114, 398)]"
P21458,787,3.A.12,3.A.12.1,"[('CDD:224588', 39, 781, 616.0), ('CDD:433252', 137, 188, 46.0), ('CDD:236669', 207, 776, 505.0), ('CDD:436096', 316, 416, 160.0), ('CDD:274859', 384, 646, 56.9), ('CDD:274860', 422, 676, 56.9), ('CDD:279863', 424, 619, 252.0), ('CDD:274858', 433, 684, 92.0), ('CDD:410871', 462, 639, 49.9), ('CDD:197911', 716, 778, 119.0), ('CDD:430583', 716, 778, 124.0)]",[]
P46889,1329,3.A.12,3.A.12.1,"[('CDD:236669', 1, 1329, 2603.0), ('CDD:224588', 20, 210, 121.0), ('CDD:433252', 20, 191, 193.0), ('CDD:236138', 334, 463, 43.7), ('CDD:224588', 830, 1328, 609.0), ('CDD:436096', 840, 940, 144.0), ('CDD:223703', 867, 1023, 45.4), ('CDD:274859', 868, 1187, 55.0), ('CDD:274860', 938, 1190, 80.8), ('CDD:279863', 948, 1160, 297.0), ('CDD:274858', 958, 1222, 90.0), ('CDD:410871', 986, 1178, 56.1), ('CDD:197911', 1263, 1325, 121.0), ('CDD:430583', 1263, 1325, 123.0)]",[]
K8ITE0,948,3.A.12,3.A.12.1,"[('CDD:433252', 24, 173, 79.9), ('CDD:224588', 270, 947, 451.0), ('CDD:236669', 489, 947, 456.0), ('CDD:436096', 489, 588, 116.0), ('CDD:223510', 492, 684, 42.7), ('CDD:274860', 585, 851, 53.8), ('CDD:274859', 611, 797, 62.3), ('CDD:274858', 612, 852, 85.0), ('CDD:279863', 612, 789, 204.0), ('CDD:410871', 634, 807, 53.8), ('CDD:197911', 887, 947, 108.0), ('CDD:430583', 887, 947, 110.0)]","[('CDD:433252 to CDD:224588', 174, 269)]"
O86810,917,3.A.12,3.A.12.1,"[('CDD:236669', 287, 901, 412.0), ('CDD:224588', 402, 904, 460.0), ('CDD:436096', 432, 530, 117.0), ('CDD:279863', 538, 737, 200.0), ('CDD:274859', 549, 771, 53.8), ('CDD:274860', 561, 794, 58.1), ('CDD:274858', 575, 799, 105.0), ('CDD:410871', 576, 757, 55.7), ('CDD:197911', 838, 900, 94.8), ('CDD:430583', 838, 900, 97.1)]","[('BEGIN to CDD:236669', 1, 286)]"
C0SP86,952,3.A.12,3.A.12.1,"[('CDD:236669', 29, 943, 507.0), ('CDD:406411', 95, 385, 45.1), ('CDD:224588', 320, 947, 568.0), ('CDD:436096', 489, 588, 146.0), ('CDD:274860', 592, 843, 67.3), ('CDD:274859', 593, 813, 50.4), ('CDD:279863', 596, 786, 260.0), ('CDD:274858', 606, 851, 128.0), ('CDD:410871', 634, 806, 53.4), ('CDD:197911', 884, 945, 118.0), ('CDD:430583', 884, 945, 125.0)]",[]
P22409,621,3.A.12,3.A.12.2,"[('CDD:274859', 263, 380, 43.1), ('CDD:224588', 273, 502, 70.6), ('CDD:236669', 273, 494, 60.9), ('CDD:279863', 274, 434, 47.4)]","[('BEGIN to CDD:274859', 1, 262), ('CDD:224588 to END', 503, 621)]"
O70031,738,3.A.12,3.A.12.3,"[('CDD:224588', 341, 620, 73.0), ('CDD:279863', 363, 541, 52.4), ('CDD:236669', 397, 620, 63.6)]","[('BEGIN to CDD:224588', 1, 340), ('CDD:224588 to END', 621, 738)]"
Q3LAJ2,772,3.A.12,3.A.12.3,"[('CDD:224588', 338, 612, 75.7), ('CDD:236669', 338, 662, 57.0), ('CDD:279863', 410, 575, 52.4)]","[('BEGIN to CDD:224588', 1, 337), ('CDD:236669 to END', 663, 772)]"
P03657,348,3.A.13,3.A.13.1,"[('CDD:222771', 1, 348, 638.0), ('CDD:222783', 1, 152, 64.1), ('CDD:283385', 2, 185, 193.0)]",[]
WP_201356433,278,3.A.13,3.A.13.1,"[('CDD:222771', 1, 233, 200.0), ('CDD:283385', 4, 193, 82.1)]",[]
YP_008130281,334,3.A.13,3.A.13.1,"[('CDD:222771', 1, 334, 569.0), ('CDD:283385', 1, 154, 99.9)]",[]
P32839,456,3.A.28,3.A.28.1,"[('CDD:223541', 1, 456, 354.0), ('CDD:214980', 59, 228, 259.0), ('CDD:430182', 61, 228, 189.0), ('CDD:182683', 216, 408, 74.3), ('CDD:224144', 226, 374, 58.3), ('CDD:410916', 227, 284, 44.4), ('CDD:224143', 230, 388, 79.6), ('CDD:410910', 230, 384, 81.6), ('CDD:410909', 233, 386, 87.3), ('CDD:410929', 233, 386, 46.8), ('CDD:223540', 234, 401, 91.0), ('CDD:410919', 234, 386, 82.3), ('CDD:410935', 234, 386, 73.7), ('CDD:410915', 237, 386, 47.7), ('CDD:410889', 238, 386, 127.0), ('CDD:410918', 238, 386, 274.0), ('CDD:214386', 239, 428, 70.8), ('CDD:273521', 246, 387, 78.0), ('CDD:410927', 246, 387, 75.6), ('CDD:410938', 246, 386, 69.4), ('CDD:410934', 247, 385, 63.2), ('CDD:235250', 250, 294, 46.5), ('CDD:410917', 251, 376, 59.3), ('CDD:410930', 251, 386, 54.2), ('CDD:185575', 252, 384, 72.9), ('CDD:240423', 252, 384, 66.7), ('CDD:410926', 252, 384, 67.8), ('CDD:410937', 252, 386, 67.9), ('CDD:177094', 253, 404, 42.7), ('CDD:410933', 255, 376, 50.0), ('CDD:410911', 256, 384, 80.8), ('CDD:410912', 256, 384, 61.4), ('CDD:410936', 256, 386, 74.1), ('CDD:99707', 258, 387, 67.6), ('CDD:214640', 260, 390, 53.1), ('CDD:410920', 261, 381, 44.1), ('CDD:410925', 261, 381, 61.0), ('CDD:410928', 261, 376, 54.0), ('CDD:410932', 261, 386, 54.1), ('CDD:425416', 263, 387, 100.0), ('CDD:237355', 264, 292, 44.3), ('CDD:225165', 265, 330, 45.7)]",[]
B0DYA3,831,3.A.28,3.A.28.1,"[('CDD:214980', 126, 289, 64.2), ('CDD:430182', 126, 289, 131.0), ('CDD:223540', 295, 497, 67.5), ('CDD:410934', 295, 479, 50.1), ('CDD:410935', 295, 479, 49.0), ('CDD:410918', 299, 484, 197.0), ('CDD:235250', 301, 357, 45.3), ('CDD:182683', 305, 479, 52.0), ('CDD:223541', 305, 482, 58.5), ('CDD:410909', 305, 479, 63.8), ('CDD:224143', 307, 484, 43.8), ('CDD:410910', 307, 484, 48.9), ('CDD:410919', 307, 479, 59.6), ('CDD:410937', 307, 479, 49.8), ('CDD:410938', 307, 479, 46.7), ('CDD:410926', 310, 479, 59.0), ('CDD:185575', 313, 486, 46.7), ('CDD:410889', 316, 484, 95.4), ('CDD:410911', 317, 484, 64.2), ('CDD:410936', 317, 479, 55.2), ('CDD:99707', 319, 392, 41.7), ('CDD:214640', 321, 364, 42.4), ('CDD:425416', 324, 484, 71.1), ('CDD:173412', 655, 739, 44.0), ('CDD:435024', 688, 742, 42.0)]","[('BEGIN to CDD:430182', 1, 125), ('CDD:223540 to CDD:173412', 498, 654), ('CDD:173412 to END', 743, 831)]"
Q9FLD5,514,3.A.28,3.A.28.1,"[('CDD:433905', 29, 124, 118.0), ('CDD:214386', 181, 407, 60.4), ('CDD:223540', 200, 454, 60.2), ('CDD:410909', 207, 391, 65.3), ('CDD:240423', 217, 395, 53.2), ('CDD:223541', 218, 391, 51.9), ('CDD:410917', 218, 391, 52.0), ('CDD:410919', 218, 391, 60.0), ('CDD:410936', 218, 391, 51.7), ('CDD:410937', 218, 391, 57.5), ('CDD:410918', 221, 393, 215.0), ('CDD:273521', 232, 421, 52.2), ('CDD:410926', 232, 391, 59.0), ('CDD:185575', 233, 393, 61.7), ('CDD:224143', 233, 392, 53.4), ('CDD:410910', 233, 392, 64.7), ('CDD:410930', 233, 391, 54.2), ('CDD:179699', 235, 392, 48.3), ('CDD:410911', 235, 392, 68.5), ('CDD:410927', 235, 393, 60.5), ('CDD:410912', 236, 393, 48.3), ('CDD:410932', 240, 384, 44.8), ('CDD:214640', 243, 393, 42.0), ('CDD:410889', 243, 392, 87.3), ('CDD:99707', 243, 395, 50.2), ('CDD:425416', 246, 395, 78.4)]","[('CDD:433905 to CDD:214386', 125, 180), ('CDD:223540 to END', 455, 514)]"
Q9LP11,475,3.A.28,3.A.28.1,"[('CDD:433905', 36, 134, 86.1), ('CDD:236153', 114, 299, 46.2), ('CDD:224401', 166, 303, 57.4), ('CDD:236353', 200, 306, 42.2), ('CDD:182683', 202, 384, 55.4), ('CDD:214386', 203, 382, 56.2), ('CDD:223540', 212, 459, 65.6), ('CDD:410928', 212, 378, 45.1), ('CDD:410919', 213, 382, 71.2), ('CDD:410935', 213, 379, 56.0), ('CDD:235250', 214, 297, 47.6), ('CDD:410934', 214, 383, 47.0), ('CDD:410937', 214, 384, 62.9), ('CDD:410918', 217, 384, 197.0), ('CDD:223541', 224, 386, 45.8), ('CDD:410909', 224, 382, 63.4), ('CDD:410917', 225, 374, 47.0), ('CDD:273521', 226, 384, 65.3), ('CDD:410938', 226, 379, 50.2), ('CDD:410926', 228, 382, 64.3), ('CDD:410936', 228, 379, 54.8), ('CDD:185575', 229, 382, 61.3), ('CDD:224143', 229, 382, 73.5), ('CDD:240423', 229, 382, 62.1), ('CDD:410910', 229, 382, 73.5), ('CDD:410930', 229, 260, 45.0), ('CDD:410933', 229, 374, 41.1), ('CDD:410929', 230, 308, 42.9), ('CDD:179699', 231, 382, 61.8), ('CDD:410911', 231, 379, 83.5), ('CDD:410927', 231, 382, 69.0), ('CDD:224144', 236, 372, 42.5), ('CDD:410932', 236, 374, 46.8), ('CDD:214640', 239, 388, 42.4), ('CDD:410889', 239, 382, 90.4), ('CDD:99707', 239, 385, 51.4), ('CDD:425416', 242, 385, 79.9), ('CDD:225164', 243, 299, 42.2), ('CDD:237355', 243, 299, 46.6), ('CDD:398900', 243, 299, 44.8), ('CDD:225165', 244, 299, 44.9)]",[]
Q9Y276,419,3.A.28,3.A.28.1,"[('CDD:223541', 3, 404, 89.3), ('CDD:214980', 24, 191, 253.0), ('CDD:430182', 25, 191, 182.0), ('CDD:185575', 185, 350, 69.8), ('CDD:235250', 186, 247, 46.1), ('CDD:224144', 192, 341, 55.6), ('CDD:179699', 196, 348, 45.6), ('CDD:200312', 196, 350, 65.5), ('CDD:224143', 196, 350, 59.6), ('CDD:410910', 196, 350, 64.3), ('CDD:410911', 196, 348, 70.8), ('CDD:410926', 196, 348, 70.1), ('CDD:223540', 199, 397, 80.3), ('CDD:410935', 199, 353, 51.0), ('CDD:99707', 199, 355, 48.3), ('CDD:410889', 201, 350, 121.0), ('CDD:410918', 201, 353, 272.0), ('CDD:182683', 202, 354, 61.6), ('CDD:273521', 202, 353, 59.5), ('CDD:410909', 202, 353, 71.1), ('CDD:410927', 202, 348, 55.5), ('CDD:410919', 203, 353, 63.5), ('CDD:410936', 205, 353, 62.1), ('CDD:410938', 209, 353, 57.1), ('CDD:240423', 212, 350, 58.2), ('CDD:410925', 212, 348, 50.6), ('CDD:410934', 212, 348, 56.7), ('CDD:410937', 212, 353, 60.2), ('CDD:410915', 219, 348, 43.9), ('CDD:214640', 223, 354, 46.2), ('CDD:425416', 226, 355, 83.0)]",[]
AVZ43932,256,3.E.3,3.E.3.1,"[('CDD:411613', 12, 253, 359.0), ('CDD:436717', 12, 253, 338.0)]",[]
WP_055898914,245,3.E.3,3.E.3.1,"[('CDD:436717', 75, 183, 61.1)]","[('BEGIN to CDD:436717', 1, 74), ('CDD:436717 to END', 184, 245)]"
J9HLW2,255,3.E.3,3.E.3.1,"[('CDD:411613', 10, 251, 347.0), ('CDD:436717', 10, 251, 326.0)]",[]
AET42597,332,3.E.3,3.E.3.1,"[('CDD:436717', 11, 216, 50.7)]","[('CDD:436717 to END', 217, 332)]"
XP_002509300,420,3.E.3,3.E.3.1,"[('CDD:436717', 217, 415, 78.8), ('CDD:411613', 218, 417, 83.5)]","[('BEGIN to CDD:411613', 1, 216)]"
WP_096421757,262,3.E.3,3.E.3.1,"[('CDD:436717', 110, 185, 44.5)]","[('BEGIN to CDD:436717', 1, 109), ('CDD:436717 to END', 186, 262)]"
